statuses_count,followers_count,friends_count,favourites_count,listed_count,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,target
29,19,255,1,0,1,0,0.0002443755252406,0.00016010810274384138,0.0021488192736673446,8.426742249675862e-06,0.0,0.07450980392156863,9,0,7,0,18,0.125,1
1408,208,866,138,0,1,0,0.011883714533502007,0.0017555487379037054,0.0073091596491567734,0.0011647390664938045,0.0,0.24018475750577367,11,0,14,0,0,0.09999999999999999,1
39,59,962,8,0,1,0,0.00033560407336049756,0.0005077087263658809,0.00827823380955894,6.884186120215335e-05,0.0,0.061330561330561334,12,0,13,0,76,0.09090909090909091,1
59,7,49,4,0,1,0,0.0005107636452509763,6.0599076555200574e-05,0.000424193535886404,3.46280437458289e-05,0.0,0.14285714285714285,10,4,20,0,0,0.11111111111111112,1
987,60,521,61,1,0,0,0.00859415508832514,0.0005224410388039598,0.004536529686947718,0.0005311483894506926,8.707350646732665e-06,0.11516314779270634,11,0,12,0,157,0.10800597388923064,1
286,141,1075,3,0,1,0,0.002523174380102972,0.0012439426139668499,0.009483959645491941,2.6466864126954254e-05,0.0,0.13116279069767442,11,0,19,0,48,0.09999999999999999,1
45,16,342,0,1,1,0,0.00041226188803088253,0.00014658200463320268,0.003133190349034707,0.0,9.161375289575167e-06,0.04678362573099415,7,0,20,0,0,0.16666666666666669,1
72,14,287,0,0,1,0,0.0006821182108385651,0.00013263409655194322,0.002718998979314836,0.0,0.0,0.04878048780487805,6,0,16,0,0,0.2,1
1,0,122,0,0,1,0,9.810150426394102e-06,0.0,0.0011968383520200804,0.0,0.0,0.0,8,0,16,0,0,0.14285714285714288,1
24,4,588,16,0,1,0,0.0002356735032094858,3.927891720158096e-05,0.005774000828632402,0.00015711566880632384,0.0,0.006802721088435374,12,0,12,0,0,0.09090909090909091,1
0,4,228,0,0,1,0,0.0,4.195337256723391e-05,0.002391342236332333,0.0,0.0,0.017543859649122806,9,3,13,0,0,0.125,1
557,171,1398,7,1,1,0,0.004133912244600859,0.0012691184808379654,0.010375600211763016,5.195221851383484e-05,7.4217455019764064e-06,0.1223175965665236,10,1,13,0,0,0.12116752585169528,1
383,9,564,10,0,1,0,0.002986856867955893,7.018723710601315e-05,0.004398400191976824,7.798581900668127e-05,0.0,0.015957446808510637,9,0,9,0,0,0.125,1
30,91,527,0,0,1,0,0.00023577931346181204,0.0007151972508341632,0.004141856606479165,0.0,0.0,0.17267552182163187,7,0,7,0,0,0.16666666666666669,1
20,17,361,0,0,1,0,0.00015844052832663142,0.0001346744490776367,0.002859851536295697,0.0,0.0,0.04709141274238227,8,2,8,2,0,0.14285714285714288,1
307,583,836,92,9,1,0,0.0024323738447500727,0.004619133392473265,0.006623662977886191,0.0007289198492410642,7.130737655619105e-05,0.6973684210526315,9,0,16,0,156,0.125,1
96,13,466,1,0,1,0,0.0007686010101218682,0.00010408138678733631,0.003730917403299902,8.006260522102793e-06,0.0,0.027896995708154508,4,0,14,0,69,0.33333333333333337,1
215,63,901,13,0,1,0,0.0017258860153610187,0.0005057247393848567,0.0072326665108850136,0.00010435589860322438,0.0,0.06992230854605994,10,4,5,0,0,0.12116752585169528,1
0,6,599,0,0,1,0,0.0,4.825527652515309e-05,0.004817485106427783,0.0,0.0,0.01001669449081803,15,0,19,0,0,0.07142857142857144,1
441,18,1009,0,0,1,0,0.0035467949709843084,0.0001447671416728289,0.008115002552660242,0.0,0.0,0.017839444995044598,13,2,11,0,0,0.08333333333333334,1
78,130,484,0,3,1,0,0.0006280018173764274,0.001046669695627379,0.003896831789874242,0.0,2.4153916052939515e-05,0.26859504132231404,10,0,10,0,0,0.11111111111111112,1
0,9,595,0,0,1,0,0.0,7.248319958561086e-05,0.004791944861493163,0.0,0.0,0.015126050420168067,8,0,4,0,0,0.14285714285714288,1
221,271,1199,7,5,1,0,0.0017798999044787052,0.00218259219055986,0.009656561020226096,5.63769200513617e-05,4.02692286081155e-05,0.22602168473728107,6,0,11,0,36,0.2,1
1,5,549,0,0,1,0,8.059724222162563e-06,4.029862111081282e-05,0.004424788597967248,0.0,0.0,0.009107468123861567,6,2,11,0,0,0.2,1
0,19,1031,0,0,1,0,0.0,0.00015320077473542193,0.008313157829064211,0.0,0.0,0.01842870999030068,9,0,17,0,0,0.13801118920922656,1
647,547,1286,6,9,1,0,0.005241711611028091,0.004431555256927923,0.010418610713728169,4.860938124601012e-05,7.291407186901519e-05,0.42534992223950235,10,0,11,0,157,0.11111111111111112,1
1513,492,2004,2,0,1,0,0.012267172641969045,0.003989060766588744,0.016248125561471226,1.6215694173124978e-05,0.0,0.24550898203592814,11,0,1,0,112,0.10800597388923064,1
54,28,577,3,0,1,0,0.00043816446675009116,0.00022719639016671394,0.004681868468792641,2.4342470375005064e-05,0.0,0.04852686308492201,8,0,18,0,0,0.1603517211870533,1
0,3,475,0,0,1,0,0.0,2.4353430238714015e-05,0.003855959787796386,0.0,0.0,0.00631578947368421,10,0,11,0,0,0.11111111111111112,1
0,10,559,0,0,1,0,0.0,8.118048640384365e-05,0.004537989189974861,0.0,0.0,0.017889087656529516,6,1,18,0,0,0.2,1
7,45,568,0,0,1,0,5.685573670389903e-05,0.00036550116452506524,0.004613436921116379,0.0,0.0,0.07922535211267606,11,0,12,0,0,0.09999999999999999,1
62,8,385,0,0,1,0,0.0005040242634028633,6.50353888261759e-05,0.003129828087259716,0.0,0.0,0.02077922077922078,11,0,7,0,5,0.09999999999999999,1
575,76,847,14,1,1,0,0.004676350409418432,0.0006180915323753057,0.006888467472656368,0.0001138589664901879,8.132783320727707e-06,0.089728453364817,9,2,14,0,0,0.125,1
0,3,557,0,0,1,0,0.0,2.4410573643395082e-05,0.004532229839790354,0.0,0.0,0.005385996409335727,15,0,3,0,0,0.07534043403440333,1
5,9,556,1,0,1,0,4.0704724329606306e-05,7.326850379329135e-05,0.004526365345452221,8.14094486592126e-06,0.0,0.01618705035971223,6,0,17,0,0,0.2,1
12,58,483,0,0,1,0,9.769855008340901e-05,0.0004722096587364769,0.003932366640857212,0.0,0.0,0.12008281573498965,10,0,13,0,0,0.11111111111111112,1
7,17,459,0,0,1,0,5.702763390771868e-05,0.0001384956823473168,0.0037393834233775537,0.0,0.0,0.037037037037037035,10,0,19,0,0,0.11111111111111112,1
2,16,344,3,1,1,0,1.6297469304972827e-05,0.0001303797544397826,0.0028031647204553264,2.444620395745924e-05,8.148734652486413e-06,0.046511627906976744,8,0,18,0,0,0.14285714285714288,1
1,14,582,0,0,1,0,8.151246044302185e-06,0.00011411744462023059,0.0047440251977838716,0.0,0.0,0.024054982817869417,7,2,14,0,0,0.16666666666666669,1
1,11,589,0,0,1,0,8.151985453760197e-06,8.967183999136215e-05,0.004801519432264755,0.0,0.0,0.01867572156196944,12,5,12,0,0,0.09090909090909091,1
29,66,798,0,0,1,0,0.0002364295464319276,0.0005380810367071455,0.0065058888983682145,0.0,0.0,0.08270676691729323,8,0,10,0,93,0.14285714285714288,1
349,5,538,12,0,1,0,0.002845774294936202,4.0770405371578824e-05,0.004386895617981881,9.784897289178917e-05,0.0,0.00929368029739777,10,0,11,0,0,0.11111111111111112,1
116,112,618,2,0,1,0,0.0009464863249996693,0.0009138488655169221,0.005042487490084445,1.631872974137361e-05,0.0,0.18122977346278318,11,0,12,0,17,0.09999999999999999,1
1470,67,711,4,0,1,0,0.0119969329473667,0.0005467989846758973,0.005802598180665118,3.264471550303864e-05,0.0,0.09423347398030943,11,0,11,0,47,0.09999999999999999,1
58,12,681,4,0,1,0,0.00047356394698521467,9.797874765211339e-05,0.005560293929257434,3.265958255070446e-05,0.0,0.01762114537444934,8,2,9,0,98,0.14285714285714288,1
656,57,693,597,0,1,0,0.005358008170989686,0.0004655586368085551,0.005660212900146117,0.004876114143415919,0.0,0.08225108225108226,11,4,8,0,34,0.09999999999999999,1
1,11,604,0,0,1,0,8.171808366599307e-06,8.98898920325924e-05,0.004935772253425982,0.0,0.0,0.018211920529801324,6,2,14,0,0,0.2,1
170,8,324,20,0,1,0,0.0013897544513256012,6.540020947414595e-05,0.0026487084837029107,0.00016350052368536484,0.0,0.024691358024691357,9,0,16,0,0,0.125,1
491,12,549,16,0,1,0,0.004017030609882332,9.817590085252135e-05,0.004491547464002851,0.00013090120113669513,0.0,0.02185792349726776,10,6,7,0,0,0.11111111111111112,1
90,109,425,0,0,1,0,0.0007363223337010953,0.0008917681597046599,0.0034770776869218387,0.0,0.0,0.2564705882352941,13,0,14,0,155,0.08333333333333334,1
0,9,596,0,0,1,0,0.0,7.363621385361045e-05,0.00487635371741687,0.0,0.0,0.015100671140939598,12,0,13,0,0,0.09743395113966301,1
11,9,188,0,1,1,0,9.004426780851531e-05,7.36725827524216e-05,0.001538938395272807,0.0,8.185842528046845e-06,0.047872340425531915,9,0,5,0,30,0.125,1
17,55,1249,0,0,1,0,0.00013947697438215016,0.0004512490347657799,0.01024745535313562,0.0,0.0,0.044035228182546036,11,1,5,0,0,0.09999999999999999,1
30,18,535,1,0,0,0,0.00024648445385576866,0.0001478906723134612,0.004395639427094541,8.216148461858955e-06,0.0,0.03364485981308411,8,2,20,0,27,0.14285714285714288,1
603,164,1153,7,0,1,0,0.004958290493997351,0.0013485234511037571,0.009480777677577025,5.7558927791014026e-05,0.0,0.1422376409366869,14,0,15,0,89,0.07692307692307691,1
0,6,534,0,0,1,0,0.0,4.936999678509895e-05,0.004393929713873807,0.0,0.0,0.011235955056179775,15,0,19,0,0,0.07142857142857144,1
16,37,406,0,1,1,0,0.00013166550956075724,0.00030447649085925117,0.0033410123051042153,0.0,8.229094347547328e-06,0.09113300492610837,7,0,11,0,0,0.16666666666666669,1
4,3,593,0,0,1,0,3.292749050350023e-05,2.469561787762517e-05,0.004881500467143908,0.0,0.0,0.00505902192242833,6,0,14,0,0,0.2,1
0,6,368,0,0,1,0,0.0,4.939372190564848e-05,0.0030294816102131067,0.0,0.0,0.016304347826086956,13,0,8,0,0,0.08333333333333334,1
1,8,1002,0,0,1,0,8.238307582870577e-06,6.590646066296462e-05,0.00825478419803632,0.0,0.0,0.007984031936127744,9,3,12,0,0,0.125,1
9,7,435,0,0,1,0,7.415619298749148e-05,5.767703899027115e-05,0.0035842159943954214,0.0,0.0,0.016091954022988506,10,4,12,0,0,0.11111111111111112,1
0,17,993,0,0,1,0,0.0,0.0001401017604871307,0.008183591068454165,0.0,0.0,0.017119838872104734,10,2,13,0,0,0.12116752585169528,1
