"id","name","screen_name","statuses_count","followers_count","friends_count","favourites_count","listed_count","url","lang","time_zone","location","default_profile","default_profile_image","geo_enabled","profile_image_url","profile_banner_url","profile_use_background_image","profile_background_image_url_https","profile_text_color","profile_image_url_https","profile_sidebar_border_color","profile_background_tile","profile_sidebar_fill_color","profile_background_image_url","profile_background_color","profile_link_color","utc_offset","is_translator","follow_request_sent","protected","verified","notifications","description","contributors_enabled","following","created_at","timestamp","crawled_at","updated"
"7248952","Bhuvan Chand","tarunkjuyal","1259","837","1978","3200","9","http://lifeofearth.org",NULL,NULL,"Berekely",NULL,NULL,,"http://a1.twimg.com/profile_images/53905961/stuntdbl_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://s.twimg.com/a/1288374569/images/themes/theme4/bg.gif",NULL,NULL,NULL,NULL,NULL,,,NULL,"Love Your Life",NULL,NULL,"1183552203000L","2007-07-04 14:30:03","2010-11-07 11:10:52","2016-03-14 17:05:53"
"7732472","Daniel Wagner","DanielWagner","770","3274","3595","8","22","http://www.yourinternetbuddies.com/go",NULL,NULL,"UK",NULL,NULL,,"http://a3.twimg.com/profile_images/719249843/dan-square-crop_normal.png",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://a3.twimg.com/profile_background_images/79862973/dan-bw.jpg",NULL,NULL,NULL,NULL,NULL,,,NULL,"I am an internet marketing coach and mentor who can help you succeed making money online",NULL,NULL,"1185440851000L","2007-07-26 11:07:31","2010-11-07 11:10:52","2016-03-14 17:05:54"
"9524952","Andrew Lock","Andrewlock","1100","38849","34504","41","1014","http://www.helpmybusiness.com",NULL,NULL,"Planet Earth",NULL,NULL,,"http://a3.twimg.com/profile_images/516987291/bright_idea_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png",NULL,NULL,NULL,NULL,NULL,,,NULL,"Marketing Geek & Presenter of 'Help! My Business Sucks!' Web TV Show (www.HelpMyBusiness.com), I'm a self confessed Cola Bottle Addict (but I can stop anytime) ",NULL,NULL,"1192725360000L","2007-10-18 18:36:00","2010-11-07 11:10:52","2016-03-14 17:05:54"
"10788822","Tim Thompson","yourinsaneworld","6497","5902","5496","0","82","http://investing-information.com",NULL,NULL,"Houston, TX",NULL,NULL,,"http://a3.twimg.com/profile_images/200984855/tim_thompson_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://s.twimg.com/a/1288039940/images/themes/theme7/bg.gif",NULL,NULL,NULL,NULL,NULL,,,NULL,"I am a member of a network of stock investing educators. Check out more stock tips & resources on investing-information.com.",NULL,NULL,"1196614406000L","2007-12-02 17:53:26","2010-11-07 11:10:52","2016-03-14 17:05:54"
"14596967","fxgenie","fxgenie","3203","2570","2638","0","5","http://www.4xgenie.com/wp",NULL,NULL,"usa",NULL,NULL,,"http://a2.twimg.com/profile_images/53530606/shark_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://a1.twimg.com/profile_background_images/21513830/twitter-template-16_copy.png",NULL,NULL,NULL,NULL,NULL,,,NULL,"forex trader",NULL,NULL,"1209536534000L","2008-04-30 08:22:14","2010-11-07 11:10:52","2016-03-14 17:05:54"
"14826060","Ron Smalley, MD(ret)","ABetterBiz","2467","3421","3575","0","19","http://abetterbiz.com",NULL,NULL,"Colorado - USA",NULL,NULL,"1","http://a2.twimg.com/profile_images/863428642/ron_smalley__md__ret__normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://a1.twimg.com/profile_background_images/136589098/x65d451a156f9a88b42fc15400a47390.png",NULL,NULL,NULL,NULL,NULL,,,NULL,"We seriously help people make money online the simple easy way with a dynamic program: http://abetterbiz.com for some interesting facts. ",NULL,NULL,"1211155018000L","2008-05-19 01:56:58","2010-11-07 11:10:52","2016-03-14 17:05:55"
"14938781","modernadvantage","modernadvantage","347","1451","1618","1","7","http://www.web-biz-solutions.com/blog",NULL,NULL,"Auburn, Al.",NULL,NULL,"1","http://a2.twimg.com/profile_images/54788522/0000194372_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://a1.twimg.com/profile_background_images/4029720/j11.jpg",NULL,NULL,NULL,NULL,NULL,,,NULL,"internet, travel, photography",NULL,NULL,"1212017203000L","2008-05-29 01:26:43","2010-11-07 11:10:52","2016-03-14 17:05:55"
"15528595","youtubepixel","youtubepixel","562","891","1643","1","1","http://www.youtubepixel.com",NULL,NULL,"London",NULL,NULL,,"http://a2.twimg.com/profile_images/273210946/cat_pic_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png",NULL,NULL,NULL,NULL,NULL,,,NULL,"my name is eddie-i  enjoy videos, internet, social networking and entertainment",NULL,NULL,"1216718943000L","2008-07-22 11:29:03","2010-11-07 11:10:52","2016-03-14 17:05:56"
"16671189","Iulian Baciu","IulianBaciu","24","915","1633","0","2","http://iulianbaciu.com",NULL,NULL,"Hamilton. Canada",NULL,NULL,,"http://a1.twimg.com/profile_images/219412857/iulian_baciu_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://s.twimg.com/a/1287774835/images/themes/theme12/bg.gif",NULL,NULL,NULL,NULL,NULL,,,NULL,"Positive thinking specialist ! SEO, Marketing, Business",NULL,NULL,"1223578831000L","2008-10-09 21:00:31","2010-11-07 11:10:52","2016-03-14 17:05:56"
"16733141","Venture Hype","venturehype","2511","12049","12263","0","212","http://venturehype.com",NULL,NULL,,NULL,NULL,,"http://a3.twimg.com/profile_images/101316499/vh_logo_normal.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"http://a1.twimg.com/profile_background_images/6039550/vh_logo_tag2.jpg",NULL,NULL,NULL,NULL,NULL,,,NULL,"Learning exchange for aspiring and motivated angel investors. Learn from sophisticated angels and profit from promising startups. Updates by Joey, Randy & Evita",NULL,NULL,"1223956217000L","2008-10-14 05:50:17","2010-11-07 11:10:52","2016-03-14 17:06:46"
